step,actic loss,critic loss,average distance,time
4630,-2.5530,0.6520,4.5398,0min5sec
4640,-2.5498,0.6509,4.5390,0min5sec
4650,-2.5465,0.6498,4.5381,0min5sec
4660,-2.5433,0.6487,4.5372,0min5sec
4670,-2.5401,0.6476,4.5363,0min5sec
4680,-2.5369,0.6465,4.5354,0min5sec
4690,-2.5338,0.6454,4.5345,0min5sec
4700,-2.5307,0.6443,4.5336,0min5sec
4710,-2.5275,0.6432,4.5327,0min5sec
4720,-2.5245,0.6422,4.5319,0min5sec
4730,-2.5214,0.6411,4.5310,0min5sec
4740,-2.5182,0.6400,4.5300,0min5sec
4750,-2.5152,0.6389,4.5291,0min5sec
4760,-2.5120,0.6379,4.5283,0min5sec
4770,-2.5090,0.6368,4.5274,0min5sec
4780,-2.5060,0.6357,4.5265,0min5sec
4790,-2.5030,0.6347,4.5257,0min5sec
4800,-2.5000,0.6337,4.5248,0min5sec
4810,-2.4970,0.6326,4.5240,0min5sec
4820,-2.4940,0.6315,4.5231,0min5sec
4830,-2.4910,0.6305,4.5223,0min5sec
4840,-2.4880,0.6295,4.5214,0min5sec
4850,-2.4851,0.6284,4.5206,0min5sec
4860,-2.4822,0.6274,4.5197,0min5sec
4870,-2.4793,0.6264,4.5189,0min5sec
4880,-2.4764,0.6254,4.5181,0min5sec
4890,-2.4735,0.6243,4.5172,0min5sec
4900,-2.4706,0.6233,4.5163,0min5sec
4910,-2.4676,0.6223,4.5155,0min5sec
4920,-2.4648,0.6213,4.5146,0min5sec
4930,-2.4619,0.6203,4.5138,0min5sec
4940,-2.4591,0.6193,4.5129,0min5sec
4950,-2.4562,0.6183,4.5121,0min5sec
4960,-2.4534,0.6173,4.5113,0min5sec
4970,-2.4506,0.6163,4.5105,0min5sec
4980,-2.4478,0.6153,4.5096,0min5sec
4990,-2.4449,0.6143,4.5088,0min5sec
5000,-2.4421,0.6134,4.5080,0min5sec
5010,-2.4393,0.6124,4.5072,0min5sec
5020,-2.4366,0.6114,4.5064,0min5sec
5030,-2.4338,0.6104,4.5056,0min5sec
5040,-2.4311,0.6095,4.5047,0min5sec
5050,-2.4283,0.6085,4.5039,0min5sec
5060,-2.4256,0.6076,4.5031,0min5sec
5070,-2.4229,0.6066,4.5023,0min5sec
5080,-2.4201,0.6057,4.5014,0min5sec
5090,-2.4174,0.6047,4.5007,0min5sec
5100,-2.4147,0.6038,4.4999,0min5sec
5110,-2.4121,0.6029,4.4992,0min5sec
5120,-2.4094,0.6020,4.4984,0min5sec
5130,-2.4067,0.6010,4.4977,0min5sec
5140,-2.4041,0.6001,4.4969,0min5sec
5150,-2.4014,0.5992,4.4962,0min5sec
5160,-2.3988,0.5983,4.4954,0min5sec
5170,-2.3962,0.5973,4.4947,0min5sec
5180,-2.3936,0.5964,4.4939,0min5sec
5190,-2.3910,0.5955,4.4931,0min5sec
5200,-2.3884,0.5946,4.4924,0min5sec
5210,-2.3858,0.5937,4.4916,0min5sec
5220,-2.3832,0.5928,4.4909,0min5sec
5230,-2.3806,0.5919,4.4901,0min5sec
5240,-2.3781,0.5910,4.4894,0min5sec
5250,-2.3756,0.5902,4.4887,0min5sec
5260,-2.3730,0.5893,4.4879,0min5sec
5270,-2.3705,0.5884,4.4872,0min5sec
5280,-2.3680,0.5876,4.4865,0min5sec
5290,-2.3654,0.5867,4.4858,0min5sec
5300,-2.3629,0.5858,4.4850,0min5sec
5310,-2.3604,0.5850,4.4843,0min5sec
5320,-2.3579,0.5841,4.4835,0min5sec
5330,-2.3554,0.5832,4.4828,0min5sec
5340,-2.3529,0.5824,4.4820,0min5sec
5350,-2.3505,0.5815,4.4813,0min5sec
5360,-2.3480,0.5807,4.4806,0min5sec
5370,-2.3457,0.5799,4.4800,0min5sec
5380,-2.3433,0.5791,4.4794,0min5sec
5390,-2.3409,0.5782,4.4787,0min5sec
5400,-2.3385,0.5774,4.4781,0min5sec
5410,-2.3361,0.5766,4.4774,0min5sec
5420,-2.3338,0.5757,4.4767,0min5sec
5430,-2.3314,0.5749,4.4761,0min5sec
5440,-2.3290,0.5741,4.4754,0min5sec
5450,-2.3267,0.5732,4.4747,0min5sec
5460,-2.3243,0.5724,4.4740,0min5sec
5470,-2.3220,0.5716,4.4733,0min5sec
5480,-2.3197,0.5708,4.4726,0min5sec
5490,-2.3173,0.5700,4.4719,0min5sec
5500,-2.3150,0.5691,4.4712,0min5sec
5510,-2.3127,0.5683,4.4705,0min5sec
5520,-2.3104,0.5675,4.4698,0min5sec
5530,-2.3082,0.5667,4.4691,0min5sec
5540,-2.3059,0.5660,4.4684,0min5sec
5550,-2.3036,0.5652,4.4678,0min5sec
5560,-2.3014,0.5644,4.4672,0min5sec
5570,-2.2991,0.5636,4.4665,0min5sec
5580,-2.2969,0.5629,4.4659,0min5sec
5590,-2.2947,0.5621,4.4653,0min5sec
